-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2022 
Location: Latitude  45.509   Longitude -73.5526 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 37.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M,TS,T2M_MAX,RH2M,PRECTOTCORR,PS,WS10M
2012,1,1,-1.83,-3.02,1.73,96.62,3.29,100.48,3.64
2012,1,2,-3.1,-3.95,1.82,89.62,0.46,99.54,8.18
2012,1,3,-18.55,-19.28,-12.08,90.38,2.13,101.32,5.09
2012,1,4,-19.75,-21.32,-11.52,95.12,1.58,101.21,2.38
2012,1,5,-10.19,-11.32,-5.45,95.31,1.19,100.49,4.11
2012,1,6,-13.2,-13.14,-8.76,98.69,1.98,100.33,3.86
2012,1,7,-2.88,-3.52,0.17,98.31,3.41,100.15,1.97
2012,1,8,-12.99,-14.51,-4.05,92.56,0.63,101.82,3.93
2012,1,9,-9.2,-12.14,-0.63,91.19,0.7,101.39,2.44
2012,1,10,-4.63,-5.57,0.44,91.06,0.97,100.56,4.99
2012,1,11,-17.69,-18.26,-14.13,92.5,0.0,101.58,5.16
2012,1,12,-6.7,-7.14,-4.22,94.81,8.67,100.27,6.48
2012,1,13,-5.1,-5.19,-3.05,97.06,11.5,98.67,6.23
2012,1,14,-19.24,-19.95,-11.49,88.56,0.66,101.03,5.14
2012,1,15,-26.45,-27.81,-20.07,94.69,0.64,102.56,4.43
2012,1,16,-16.81,-18.09,-3.28,96.75,0.67,102.06,3.5
2012,1,17,-2.27,-2.63,2.1,97.25,9.39,99.94,4.4
2012,1,18,-12.77,-13.92,1.83,89.25,0.92,100.67,9.65
2012,1,19,-14.47,-17.81,-4.7,94.38,0.52,101.26,4.72
2012,1,20,-16.5,-18.2,-4.22,91.25,0.97,101.68,6.21
2012,1,21,-19.67,-22.27,-13.99,94.25,0.86,102.17,2.78
2012,1,22,-17.3,-18.54,-9.79,95.81,1.09,102.65,2.98
2012,1,23,-4.45,-5.85,1.76,95.19,7.75,101.22,4.78
2012,1,24,1.12,-0.05,2.25,90.38,2.99,100.63,6.98
2012,1,25,-7.95,-8.31,-1.86,87.25,0.07,101.87,6.0
2012,1,26,-12.46,-13.67,-6.17,89.38,0.81,101.64,4.1
2012,1,27,-1.94,-2.38,0.43,95.75,14.85,99.51,6.48
2012,1,28,-3.56,-4.64,1.07,92.69,3.27,100.42,5.6
2012,1,29,-2.87,-3.96,0.78,89.38,6.69,100.63,7.88
2012,1,30,-12.94,-15.81,-8.23,93.69,0.05,101.64,4.03
2012,1,31,-10.9,-11.13,-8.07,98.81,4.07,101.38,5.16
2012,2,1,-4.71,-4.83,0.5,97.31,4.04,100.5,4.35
2012,2,2,-12.4,-14.32,-7.74,89.88,0.53,101.83,2.94
2012,2,3,-10.0,-11.85,-4.74,91.5,0.23,102.3,3.46
2012,2,4,-12.67,-15.55,-6.81,90.06,0.29,102.08,3.12
2012,2,5,-13.96,-15.11,-4.77,94.44,0.03,101.62,3.97
2012,2,6,-0.7,-1.63,1.17,92.5,0.13,100.57,7.28
2012,2,7,-10.86,-12.06,-3.27,85.31,0.0,101.7,4.27
2012,2,8,-13.13,-16.7,-3.51,87.62,0.36,101.73,4.4
2012,2,9,-6.2,-7.56,-0.01,92.75,0.53,101.11,5.19
2012,2,10,-3.24,-4.37,0.79,92.56,1.01,100.95,4.39
2012,2,11,-14.74,-14.97,-6.52,85.88,1.06,100.85,4.38
